   lambda (micron)   Lnu (Lsun/Hz)  sigma Lnu (Lsun/Hz)
      2.460e-01      1.845e-07      2.768e-08
      2.980e-01      5.870e-07      8.806e-08
      3.320e-01      1.053e-06      1.580e-07
      3.600e-01      1.731e-06      9.720e-08
      3.652e-01      1.302e-06      2.599e-07
      4.250e-01      4.624e-06      6.936e-07
      4.400e-01      5.004e-06      2.879e-07
      4.448e-01      4.032e-06      2.815e-07
      5.500e-01      8.818e-06      5.619e-07
      5.505e-01      7.939e-06      7.340e-07
      6.586e-01      1.157e-05      1.230e-06
      8.060e-01      1.558e-05      2.162e-06
      1.241e+00      3.197e-05      1.598e-06
      1.250e+00      3.010e-05      1.505e-06
      1.650e+00      3.954e-05      1.977e-06
      1.651e+00      4.110e-05      2.055e-06
      2.166e+00      3.816e-05      1.908e-06
      2.170e+00      3.724e-05      1.862e-06
      5.802e+00      4.917e-05      2.563e-06
      5.862e+00      4.980e-05      2.580e-06
      5.921e+00      5.711e-05      2.855e-06
      5.980e+00      7.484e-05      3.742e-06
      6.039e+00      9.659e-05      4.829e-06
      6.098e+00      1.281e-04      6.406e-06
      6.157e+00      2.118e-04      1.059e-05
      6.216e+00      2.923e-04      1.462e-05
      6.274e+00      2.883e-04      1.442e-05
      6.332e+00      2.385e-04      1.192e-05
      6.391e+00      1.823e-04      9.117e-06
      6.449e+00      1.458e-04      7.290e-06
      6.506e+00      1.204e-04      6.018e-06
      6.564e+00      1.141e-04      5.703e-06
      6.621e+00      1.143e-04      5.714e-06
      6.679e+00      1.175e-04      5.875e-06
      6.736e+00      1.179e-04      5.896e-06
      6.793e+00      1.208e-04      6.041e-06
      6.850e+00      1.296e-04      6.480e-06
      6.905e+00      1.497e-04      7.483e-06
      6.962e+00      1.666e-04      8.331e-06
      7.018e+00      1.706e-04      8.529e-06
      7.074e+00      1.672e-04      8.358e-06
      7.130e+00      1.618e-04      8.088e-06
      7.186e+00      1.698e-04      8.488e-06
      7.242e+00      1.835e-04      9.173e-06
      7.297e+00      2.138e-04      1.069e-05
      7.352e+00      2.655e-04      1.328e-05
      7.408e+00      3.247e-04      1.623e-05
      7.463e+00      3.761e-04      1.881e-05
      7.518e+00      4.691e-04      2.346e-05
      7.572e+00      5.253e-04      2.626e-05
      7.627e+00      5.489e-04      2.744e-05
      7.681e+00      5.558e-04      2.779e-05
      7.735e+00      5.489e-04      2.744e-05
      7.789e+00      5.299e-04      2.649e-05
      7.843e+00      5.006e-04      2.503e-05
